                                                                                                                                                
                                                                                                                                                
                                                                                                                                                
                                                                                                                                                
                                                                                                                                                
                                                                                                                                                
                                                                                                                                                
                                                                                                                                                
                                                                                                                                                
                                                                                                                                                
                                                                                                                                                
                                                                                                                                                
                                                                                                           ###+                                 
                                                                                                           #                                    
                                                                                                           #                                    
                                                                               ##                          #                                    
                                                  +##############################                          #                                    
                    +                                                          #                           #     +                              
                    #                      #   +                               #                           #                                    
                    ############################                               #                           #                                    
                                           #                                   #                           #                                    
                                                                               #                           #                                    
                                                                               #                           #                                    
                                                                               #                           #                                    
                                                                               #                           #                                    
                                                                               #                           #                                    
                                                                               #                           #                                    
                                                                               ######+                     #                                    
                                                                                                           #                                    
                                                                                                           #                                    
                                                                                          +                #                                    
                                                                                          #                #                                    
                                                                                          ###################                                   
                                                                                                                                                
